Date,Temperature
2019-11-07 12:21.40,0
2019-11-07 12:22.20,462
2019-11-07 12:22.32,462
2019-11-07 12:24.45,0
2019-11-07 12:30.44,0
2019-11-07 12:31.03,0
2019-11-07 12:31.05,441
2019-11-07 12:31.07,368
2019-11-07 12:31.09,331
2019-11-07 12:31.11,334
2019-11-07 12:31.13,327
2019-11-07 12:31.15,302
2019-11-07 12:31.17,287
2019-11-07 12:31.19,290
2019-11-07 12:31.21,311
2019-11-07 12:31.23,292
2019-11-07 12:31.25,281
2019-11-07 12:31.27,308
2019-11-07 12:31.29,313
2019-11-07 12:31.31,287
2019-11-07 12:31.33,260
2019-11-07 12:31.35,306
2019-11-07 12:31.37,312
2019-11-07 12:31.39,288
2019-11-07 12:31.41,279
2019-11-07 12:31.43,303
2019-11-07 12:31.45,312
2019-11-07 12:31.47,287
2019-11-07 12:31.49,279
2019-11-07 12:31.51,281
2019-11-07 12:31.53,311
2019-11-07 12:31.55,316
2019-11-07 12:31.57,287
2019-11-07 12:31.59,288
2019-11-07 12:32.01,310
2019-11-07 12:32.03,310
2019-11-07 12:32.05,296
2019-11-07 12:32.07,278
2019-11-07 12:32.09,309
2019-11-07 12:32.11,290
2019-11-07 12:32.13,302
2019-11-07 12:32.17,0
2019-11-07 12:32.21,476
2019-11-07 12:32.41,0
2019-11-07 12:32.45,472
2019-11-07 12:33.37,473
2019-11-07 12:33.41,370
2019-11-07 12:33.45,325
2019-11-07 12:33.49,299
2019-11-07 12:33.53,310
2019-11-07 12:33.57,309
2019-11-07 12:34.01,308
2019-11-07 12:34.30,0
2019-11-07 12:34.34,451
2019-11-07 12:34.38,348
2019-11-07 12:34.42,302
2019-11-07 12:34.46,296
2019-11-07 12:34.50,303
2019-11-07 12:34.54,291
2019-11-07 12:34.58,299
2019-11-07 12:35.58,298
2019-11-07 12:36.22,317
2019-11-07 12:36.26,313
2019-11-07 12:36.30,314
2019-11-07 12:36.34,314
2019-11-07 12:36.38,314
2019-11-07 12:36.48,480
2019-11-07 12:36.54,349
2019-11-07 12:37.00,295
2019-11-07 12:37.06,298
2019-11-07 12:37.14,289
2019-11-07 12:37.20,312
2019-11-07 12:37.26,294
2019-11-07 12:37.32,290
2019-11-07 12:37.40,288
2019-11-07 12:37.46,311
2019-11-07 12:37.52,288
2019-11-07 12:37.58,296
2019-11-07 12:38.06,299
2019-11-07 12:38.24,0
2019-11-07 12:38.26,0
2019-11-07 12:38.28,477
2019-11-07 12:38.34,330
2019-11-07 12:38.40,295
2019-11-07 12:38.46,312
2019-11-07 12:38.52,286
2019-11-07 12:38.54,294
2019-11-07 12:39.00,289
2019-11-07 12:39.06,308
2019-11-07 12:39.12,312
2019-11-07 12:39.20,311
2019-11-07 12:39.26,292
2019-11-07 12:39.34,0
2019-11-07 12:39.36,480
2019-11-07 12:39.38,380
2019-11-07 12:39.40,380
2019-11-07 12:39.42,336
2019-11-07 12:39.44,319
2019-11-07 12:39.46,319
2019-11-07 12:39.48,209
2019-11-07 12:39.50,246
2019-11-07 12:39.56,204
2019-11-07 12:40.02,204
2019-11-07 12:40.04,204
2019-11-07 12:40.06,204
2019-11-07 12:40.08,162
2019-11-07 12:40.10,162
2019-11-07 12:40.12,148
2019-11-07 12:40.14,220
2019-11-07 12:40.16,220
2019-11-07 12:40.18,240
2019-11-07 12:40.20,273
2019-11-07 12:40.22,273
2019-11-07 12:40.24,261
2019-11-07 12:40.26,257
2019-11-07 12:40.28,280
2019-11-07 12:40.30,280
2019-11-07 12:40.32,268
2019-11-07 12:40.34,271
2019-11-07 12:40.36,271
2019-11-07 12:40.38,287
2019-11-07 12:40.40,250
2019-11-07 12:40.42,250
2019-11-07 12:40.44,305
2019-11-07 12:40.46,259
2019-11-07 12:40.48,259
2019-11-07 12:40.50,299
2019-11-07 12:40.52,271
2019-11-07 12:40.54,265
2019-11-07 12:40.56,265
2019-11-07 12:40.58,306
2019-11-07 12:41.00,268
2019-11-07 12:41.02,268
2019-11-07 12:41.04,286
2019-11-07 12:41.06,297
2019-11-07 12:41.08,297
2019-11-07 12:41.10,283
2019-11-07 12:41.12,264
2019-11-07 12:41.14,308
2019-11-07 12:41.16,308
2019-11-07 12:41.18,275
2019-11-07 12:41.20,259
2019-11-07 12:41.22,259
2019-11-07 12:41.24,308
2019-11-07 12:41.26,262
2019-11-07 12:41.28,262
2019-11-07 12:41.30,301
2019-11-07 12:41.32,275
2019-11-07 12:41.34,275
2019-11-07 12:41.36,267
2019-11-07 12:41.38,304
2019-11-07 12:41.40,299
2019-11-07 12:41.42,299
2019-11-07 12:41.44,262
2019-11-07 12:41.46,286
2019-11-07 12:41.48,286
2019-11-07 12:41.50,309
2019-11-07 12:41.52,262
2019-11-07 12:41.54,262
2019-11-07 12:41.56,278
2019-11-07 12:41.58,307
2019-11-07 12:42.00,271
2019-11-07 12:42.02,271
2019-11-07 12:42.04,257
2019-11-07 12:42.06,303
2019-11-07 12:42.08,303
2019-11-07 12:42.10,270
2019-11-07 12:42.12,286
2019-11-07 12:42.14,286
2019-11-07 12:42.16,307
2019-11-07 12:42.18,257
2019-11-07 12:42.21,257
2019-11-07 12:42.23,306
2019-11-07 12:42.25,309
2019-11-07 12:42.27,276
2019-11-07 12:42.29,276
2019-11-07 12:42.31,262
2019-11-07 12:42.33,305
2019-11-07 12:42.35,305
2019-11-07 12:42.37,263
2019-11-07 12:42.39,291
2019-11-07 12:42.41,291
2019-11-07 12:42.43,307
2019-11-07 12:42.45,279
2019-11-07 12:42.47,257
2019-11-07 12:42.49,257
2019-11-07 12:42.51,275
2019-11-07 12:42.53,311
2019-11-07 12:42.55,311
2019-11-07 12:42.57,264
2019-11-07 12:42.59,285
2019-11-07 12:43.01,285
2019-11-07 12:43.03,308
2019-11-07 12:43.05,273
2019-11-07 12:43.07,273
2019-11-07 12:43.09,287
2019-11-07 12:43.11,308
2019-11-07 12:43.13,271
2019-11-07 12:43.15,271
2019-11-07 12:43.17,259
2019-11-07 12:43.19,295
2019-11-07 12:43.21,295
2019-11-07 12:43.23,311
2019-11-07 12:43.25,269
2019-11-07 12:43.27,269
2019-11-07 12:43.29,262
2019-11-07 12:43.31,293
2019-11-07 12:43.33,309
2019-11-07 12:43.35,309
2019-11-07 12:43.37,266
2019-11-07 12:43.39,292
2019-11-07 12:43.41,292
2019-11-07 12:43.43,308
2019-11-07 12:43.45,267
2019-11-07 12:43.47,267
2019-11-07 12:43.49,266
2019-11-07 12:43.51,308
2019-11-07 12:43.53,308
2019-11-07 12:43.55,287
2019-11-07 12:43.57,261
2019-11-07 12:43.59,290
2019-11-07 12:44.01,290
2019-11-07 12:44.03,308
2019-11-07 12:44.05,245
2019-11-07 12:44.07,245
2019-11-07 12:44.09,268
2019-11-07 12:44.11,324
2019-11-07 12:44.13,324
2019-11-07 12:44.15,283
2019-11-07 12:44.17,258
2019-11-07 12:44.19,282
2019-11-07 12:44.21,282
2019-11-07 12:44.23,289
2019-11-07 12:44.25,275
2019-11-07 12:44.27,275
2019-11-07 12:44.29,275
2019-11-07 12:44.31,295
2019-11-07 12:44.33,295
2019-11-07 12:44.35,286
2019-11-07 12:44.37,276
2019-11-07 12:44.39,276
2019-11-07 12:44.41,295
2019-11-07 12:44.43,283
2019-11-07 12:44.45,276
2019-11-07 12:44.47,276
2019-11-07 12:44.49,295
2019-11-07 12:44.51,297
2019-11-07 12:44.53,297
2019-11-07 12:44.55,275
2019-11-07 12:44.57,296
2019-11-07 12:44.59,296
2019-11-07 12:45.01,294
2019-11-07 12:45.03,279
2019-11-07 12:45.05,264
2019-11-07 12:45.07,264
2019-11-07 12:45.10,296
2019-11-07 12:45.12,282
2019-11-07 12:45.14,282
2019-11-07 12:45.16,277
2019-11-07 12:45.18,296
2019-11-07 12:45.20,296
2019-11-07 12:45.22,294
2019-11-07 12:45.24,276
2019-11-07 12:45.26,276
2019-11-07 12:45.28,290
2019-11-07 12:45.30,298
2019-11-07 12:45.32,278
2019-11-07 12:45.34,278
2019-11-07 12:45.36,289
2019-11-07 12:45.38,298
2019-11-07 12:45.40,298
2019-11-07 12:45.42,280
2019-11-07 12:45.44,295
2019-11-07 12:45.46,295
2019-11-07 12:45.48,289
2019-11-07 12:45.50,277
2019-11-07 12:45.52,297
2019-11-07 12:45.54,297
2019-11-07 12:45.56,295
2019-11-07 12:46.03,0
2019-11-07 12:46.05,457
2019-11-07 12:46.07,353
2019-11-07 12:46.09,1020
2019-11-07 12:46.11,1020
2019-11-07 12:46.13,1023
2019-11-07 12:46.15,522
2019-11-07 12:46.17,685
2019-11-07 12:46.19,565
2019-11-07 12:46.21,451
2019-11-07 12:46.23,410
2019-11-07 12:46.25,410
2019-11-07 12:46.27,365
2019-11-07 12:46.29,316
2019-11-07 12:46.31,300
2019-11-07 12:46.33,316
2019-11-07 12:46.35,293
2019-11-07 12:46.37,293
2019-11-07 12:46.39,287
2019-11-07 12:46.41,302
2019-11-07 12:46.43,310
2019-11-07 12:46.45,289
2019-11-07 12:46.47,289
2019-11-07 12:46.49,289
2019-11-07 12:46.51,310
2019-11-07 12:46.53,289
2019-11-07 12:46.55,295
2019-11-07 12:46.57,308
2019-11-07 12:46.59,290
2019-11-07 12:47.01,290
2019-11-07 12:47.03,292
2019-11-07 12:47.05,310
2019-11-07 12:47.07,288
2019-11-07 12:47.12,0
2019-11-07 12:47.14,466
2019-11-07 12:47.16,376
2019-11-07 12:47.18,354
2019-11-07 12:47.20,354
2019-11-07 12:47.22,333
2019-11-07 12:47.24,301
2019-11-07 12:47.26,291
2019-11-07 12:47.28,311
2019-11-07 12:47.30,287
2019-11-07 12:47.32,293
2019-11-07 12:47.37,0
2019-11-07 12:47.39,477
2019-11-07 12:47.41,392
2019-11-07 12:47.43,336
2019-11-07 12:47.45,336
2019-11-07 12:47.47,335
2019-11-07 12:47.49,300
2019-11-07 12:47.51,315
2019-11-07 12:47.53,293
2019-11-07 12:47.55,287
2019-11-07 12:47.57,309
2019-11-07 12:47.59,309
2019-11-07 12:48.01,287
2019-11-07 12:48.03,297
2019-11-07 12:48.05,310
2019-11-07 12:48.07,281
2019-11-07 12:48.09,302
2019-11-07 12:48.11,302
2019-11-07 12:48.13,288
2019-11-07 12:48.15,282
2019-11-07 12:48.17,301
2019-11-07 12:48.21,0
2019-11-07 12:48.23,475
2019-11-07 12:48.25,385
2019-11-07 12:48.27,336
2019-11-07 12:48.29,336
2019-11-07 12:48.31,330
2019-11-07 12:48.33,299
2019-11-07 12:48.35,290
2019-11-07 12:48.37,307
2019-11-07 12:48.39,285
2019-11-07 12:48.44,0
2019-11-07 12:48.46,471
2019-11-07 12:48.48,394
2019-11-07 12:48.50,329
2019-11-07 12:48.52,329
2019-11-07 12:48.54,331
2019-11-07 12:48.56,301
2019-11-07 12:48.58,292
2019-11-07 12:49.00,308
2019-11-07 12:49.02,297
2019-11-07 12:49.08,0
2019-11-07 12:49.10,471
2019-11-07 12:49.12,381
2019-11-07 12:49.14,339
2019-11-07 12:49.16,339
2019-11-07 12:49.18,330
2019-11-07 12:49.20,297
2019-11-07 12:49.22,296
2019-11-07 12:49.24,309
2019-11-07 12:49.26,288
2019-11-07 12:49.28,301
2019-11-07 12:49.30,301
2019-11-07 12:49.32,304
2019-11-07 12:49.34,286
2019-11-07 12:49.36,298
2019-11-07 12:49.38,291
2019-11-07 12:49.40,295
2019-11-07 12:49.42,295
2019-11-07 12:49.44,306
2019-11-07 12:49.46,287
2019-11-07 12:49.48,303
2019-11-07 12:49.50,299
2019-11-07 12:49.52,262
2019-11-07 12:49.56,0
2019-11-07 12:49.58,473
2019-11-07 12:50.00,385
2019-11-07 12:50.02,330
2019-11-07 12:50.04,330
2019-11-07 12:50.09,0
2019-11-07 12:50.11,474
2019-11-07 12:50.13,388
2019-11-07 12:50.15,335
2019-11-07 12:50.17,335
2019-11-07 12:50.19,331
2019-11-07 12:50.21,297
2019-11-07 12:50.23,308
2019-11-07 12:50.25,305
2019-11-07 12:50.27,285
2019-11-07 12:50.29,306
2019-11-07 12:50.31,306
2019-11-07 12:50.33,286
2019-11-07 12:50.35,298
2019-11-07 12:50.37,305
2019-11-07 12:50.39,285
2019-11-07 12:50.41,282
2019-11-07 12:50.43,282
2019-11-07 12:50.45,305
2019-11-07 12:50.47,288
2019-11-07 12:50.49,301
2019-11-07 12:50.54,0
2019-11-07 12:50.56,456
2019-11-07 12:50.58,400
2019-11-07 12:51.00,355
2019-11-07 12:51.02,355
2019-11-07 12:51.04,308
2019-11-07 12:51.07,305
2019-11-07 12:51.09,301
2019-11-07 12:51.11,287
2019-11-07 12:51.13,307
2019-11-07 12:51.15,296
2019-11-07 12:51.17,296
2019-11-07 12:51.19,287
2019-11-07 12:51.21,312
2019-11-07 12:51.23,285
2019-11-07 12:51.25,280
2019-11-07 12:51.27,306
2019-11-07 12:51.29,306
2019-11-07 12:51.31,285
2019-11-07 12:51.33,302
2019-11-07 12:51.35,304
2019-11-07 12:51.37,285
2019-11-07 12:51.39,304
2019-11-07 12:51.41,304
2019-11-07 12:51.43,292
2019-11-07 12:51.51,0
2019-11-07 12:51.53,469
2019-11-07 12:51.55,377
2019-11-07 12:51.57,357
2019-11-07 12:51.59,357
2019-11-07 12:52.01,311
2019-11-07 12:52.03,309
2019-11-07 12:52.05,313
2019-11-07 12:52.07,300
2019-11-07 12:52.09,288
2019-11-07 12:52.13,0
2019-11-07 12:52.15,476
2019-11-07 12:52.17,381
2019-11-07 12:52.19,353
2019-11-07 12:52.21,353
2019-11-07 12:52.31,0
2019-11-07 12:52.33,456
2019-11-07 12:52.35,384
2019-11-07 12:52.37,357
2019-11-07 12:52.39,357
2019-11-07 12:52.41,316
2019-11-07 12:52.43,301
2019-11-07 12:52.45,307
2019-11-07 12:52.47,312
2019-11-07 12:52.49,291
2019-11-07 12:52.51,306
2019-11-07 12:52.53,306
2019-11-07 12:52.55,306
2019-11-07 12:52.57,289
2019-11-07 12:52.59,290
2019-11-07 12:53.02,305
2019-11-07 12:53.07,0
2019-11-07 12:53.09,477
2019-11-07 12:53.11,388
2019-11-07 12:53.13,335
2019-11-07 12:53.15,335
2019-11-07 12:53.17,331
2019-11-07 12:53.19,317
2019-11-07 12:53.21,294
2019-11-07 12:53.23,296
2019-11-07 12:53.25,313
2019-11-07 12:53.27,292
2019-11-07 12:53.29,292
2019-11-07 12:53.31,293
